MaxT,MinT,WindSpeed,Humidity ,Precipitation
31.6,26.2,3.9,81.2,6.5
34.7,27.1,4.2,73.1,0.0
34.9,27.7,3.0,71.8,0.0
34.6,27.5,3.1,75.7,5.1
34.3,26.8,2.8,72.5,10.3
31.2,26.3,3.6,81.3,5.1
34.2,26.0,3.2,79.4,0.0
35.3,26.5,3.0,79.2,0.0
33.6,26.9,2.9,78.3,6.1
32.3,26.0,2.5,78.9,6.8
34.2,26.4,2.7,76.1,13.6
32.3,25.3,2.2,78.7,13.6
32.9,26.3,1.9,80.5,6.8
33.6,26.9,1.6,78.0,0.0
32.0,26.2,1.7,79.2,8.3
33.2,26.6,2.7,78.6,8.3
30.7,25.5,1.7,85.0,19.1
32.3,25.6,2.3,85.3,9.6
30.6,25.3,3.0,83.7,9.6
29.7,25.6,2.6,79.8,29.5
29.2,25.6,2.4,80.4,18.2
32.6,26.1,3.0,75.3,0.0
32.9,27.2,3.4,72.3,4.6
31.4,25.8,3.3,81.5,36.4
30.4,24.9,3.4,80.5,17.2
32.1,27.0,2.8,79.2,4.3
33.6,27.0,2.0,75.6,12.9
33.5,27.3,1.7,79.4,6.4
33.9,27.1,1.4,80.5,0.0
33.6,27.0,1.7,75.2,0.0
34.2,26.7,1.4,72.2,5.7
34.3,26.5,1.7,74.0,2.8
31.9,25.2,2.6,82.4,11.3
32.2,24.9,2.6,78.8,2.9
31.0,26.0,2.4,74.8,7.7
30.1,26.1,2.7,77.2,6.9
31.2,25.5,1.6,76.7,0.0
29.7,25.5,1.7,67.3,23.1
30.2,25.4,2.7,74.1,26.4
28.1,25.1,2.9,76.0,18.7
29.8,25.9,3.4,72.9,15.6
32.3,26.3,3.9,65.0,4.6
33.0,27.0,3.3,72.1,0.0
33.1,27.7,2.9,74.5,4.6
31.8,27.2,2.9,74.8,6.4
32.4,26.4,2.6,75.9,6.6
33.7,26.6,2.3,76.9,3.8
32.0,26.8,2.3,74.4,13.0
30.6,24.7,2.3,76.7,10.4
32.5,25.6,2.4,77.2,12.5
32.8,26.1,2.3,68.5,9.1
33.4,25.8,1.7,67.9,5.8
30.0,25.3,1.6,63.1,37.4
28.6,24.8,2.4,66.2,24.9
31.5,25.1,2.5,70.9,0.0
30.1,25.8,2.2,80.0,9.3
32.2,25.6,2.1,65.7,0.0
34.3,24.9,1.5,62.8,0.0
33.3,25.1,1.5,63.7,0.0
33.5,25.1,1.3,70.3,0.0
33.2,25.5,1.3,73.3,0.0
33.6,25.2,1.5,64.8,0.0
33.8,24.8,1.4,65.4,0.0
33.6,24.6,1.1,67.6,0.0
33.0,24.4,1.2,73.0,0.0
32.5,24.8,1.1,72.0,0.0
31.1,24.5,1.6,77.1,22.1
31.1,25.2,1.2,73.2,46.7
31.7,25.0,1.1,75.5,23.4
31.8,24.6,1.4,70.5,12.0
30.8,21.3,1.2,72.5,17.4
31.4,24.4,1.9,71.3,6.0
30.7,23.2,2.1,70.5,0.0
30.8,23.3,1.4,70.2,0.0
31.4,22.6,1.1,64.1,0.0
31.2,23.5,1.1,73.1,0.0
31.2,23.5,1.5,76.6,6.9
29.6,23.5,2.1,74.9,17.4
26.9,23.3,1.6,81.4,13.9
30.6,24.7,1.4,77.0,7.0
31.9,26.4,2.0,83.8,0.0
32.7,24.6,1.1,79.6,0.0
31.9,24.5,1.4,79.4,1.6
32.1,25.6,1.2,83.3,0.0
32.7,25.1,0.9,76.5,6.0
32.9,24.6,1.1,75.7,0.0
32.1,24.1,1.2,72.2,0.0
31.5,23.1,1.2,69.7,0.0
31.9,22.9,0.8,72.3,0.0
32.3,23.1,1.0,66.1,0.0
32.1,23.1,1.3,68.9,0.0
31.8,21.7,1.7,68.0,0.0
32.0,20.5,1.8,65.6,0.0
32.2,19.7,1.4,59.8,0.0
32.6,18.8,1.5,63.9,0.0
31.4,18.7,1.5,62.9,0.0
30.6,20.1,1.6,65.0,0.0
30.8,20.3,1.0,69.3,0.0
30.6,23.3,1.1,77.4,0.0
31.5,23.9,1.4,75.2,0.0
30.7,22.2,1.5,66.0,0.0
30.5,19.9,1.6,64.0,0.0
30.9,18.4,1.5,64.8,0.0
30.5,17.4,1.5,60.7,0.0
31.4,18.2,1.4,61.5,0.0
31.4,20.7,1.0,66.7,0.0
31.7,22.2,1.2,68.3,0.0
31.1,21.5,0.9,59.3,0.0
30.8,19.1,1.2,66.9,0.0
